plotID,siteID,year,Canopy_Ht,Max_Ht,Rumple,Rugosity,Deep_Gap,Vert_SD,Vert_CV,Gini,VCI,FHD,LAI,Q95,Ht_Ratio,NDVI,EVI,ARVI,SAVI
BONA_079,BONA,2021,9.020468711853027,11.42607307434082,1.618462085723877,3.472221612930298,0.2100672423839569,2.4090890884399414,0.32108572125434875,0.1737913191318512,0.5944753289222717,1.2158050537109375,1.5228136777877808,11.626435279846191,58.97743225097656,,,,
BONA_070,BONA,2021,2.475280523300171,2.59326434135437,2.034062623977661,0.9125697016716003,0.6063833236694336,0.888215959072113,0.3412918150424957,0.20279864966869354,0.6727011799812317,0.8421720266342163,0.43616482615470886,3.556835174560547,99.97769927978516,,,,
BONA_075,BONA,2021,10.524909973144531,13.32255744934082,1.5388033390045166,3.8803844451904297,0.16373175382614136,2.597700357437134,0.29016366600990295,0.15520425140857697,0.6131598949432373,1.4138447046279907,1.795987606048584,13.29663372039795,46.1588020324707,,,,
BONA_078,BONA,2021,7.8042216300964355,10.675712585449219,1.6826326847076416,3.301251173019409,0.22611425817012787,2.6220927238464355,0.3875464200973511,0.2103041559457779,0.6583877205848694,1.3687186241149902,1.449767827987671,10.787151336669922,67.08390808105469,,,,
BONA_076,BONA,2021,4.5005645751953125,5.827986717224121,1.865235686302185,1.9036602973937988,0.4015056788921356,1.6276631355285645,0.3731958866119385,0.2126682698726654,0.6875877976417542,1.159023404121399,0.9577032327651978,6.513145446777344,93.66676330566406,,,,
BONA_082,BONA,2021,9.431511878967285,12.144561767578125,1.6369683742523193,3.7658939361572266,0.21574707329273224,2.699450969696045,0.3404236435890198,0.18519015610218048,0.5956642031669617,1.2479019165039062,1.5025403499603271,12.37112045288086,56.024879455566406,,,,
BONA_071,BONA,2021,3.98897647857666,5.229159355163574,1.8550162315368652,1.7301411628723145,0.38806936144828796,1.4232105016708374,0.3736256957054138,0.21632054448127747,0.6994011402130127,1.0356619358062744,0.8249132037162781,5.699411392211914,94.5640869140625,,,,
BONA_087,BONA,2021,8.378901481628418,10.718317031860352,1.684009075164795,3.4151415824890137,0.2555706799030304,2.376570224761963,0.3261779844760895,0.17767862975597382,0.6217597723007202,1.3197826147079468,1.476833462715149,11.077767372131348,66.7591552734375,,,,
BONA_084,BONA,2021,8.666775703430176,10.89240837097168,1.7739030122756958,3.7816171646118164,0.30014532804489136,2.6403167247772217,0.37181827425956726,0.20198063552379608,0.56632000207901,1.0772039890289307,1.162571668624878,11.505922317504883,65.0958023071289,,,,
BONA_080,BONA,2021,4.895270824432373,5.46320104598999,1.8568286895751953,1.7601512670516968,0.451076865196228,1.6718782186508179,0.3641020953655243,0.21145039796829224,0.6368423104286194,1.103131651878357,0.909340500831604,6.853756904602051,90.36668395996094,,,,
BONA_086,BONA,2021,2.1585514545440674,2.1316118240356445,1.9970334768295288,0.7531113624572754,0.6257805824279785,0.7916038632392883,0.34297969937324524,0.2058984488248825,0.6773463487625122,0.7785798907279968,0.3664517104625702,3.0939176082611084,99.92215728759766,,,,
