plotID,date,year,doy,ndvi,nbr,npix
OSBS_018,2025-12-13,2025,347,0.3796,0.2524,16
OSBS_011,2025-12-13,2025,347,0.48,0.3849,16
OSBS_014,2025-12-13,2025,347,0.4157,0.319,16
OSBS_004,2025-12-13,2025,347,0.3796,0.2742,16
OSBS_020,2025-12-13,2025,347,0.4428,0.3267,16
OSBS_023,2025-12-13,2025,347,0.1658,-0.0806,16
OSBS_049,2025-12-13,2025,347,0.1819,0.0231,16
OSBS_003,2025-12-13,2025,347,0.4244,0.3007,16
OSBS_012,2025-12-13,2025,347,0.1312,-0.0395,16
OSBS_013,2025-12-13,2025,347,0.3514,0.2511,16
OSBS_024,2025-12-13,2025,347,0.1475,-0.1586,16
OSBS_016,2025-12-13,2025,347,0.4133,0.3118,16
OSBS_008,2025-12-13,2025,347,0.3557,0.2549,16
OSBS_010,2025-12-13,2025,347,0.4373,0.3281,16
OSBS_051,2025-12-13,2025,347,0.2568,0.0993,16
OSBS_050,2025-12-13,2025,347,0.229,0.081,16
OSBS_007,2025-12-13,2025,347,0.3512,0.2521,16
OSBS_005,2025-12-13,2025,347,0.1667,0.0413,16
OSBS_017,2025-12-13,2025,347,0.3633,0.2472,16
OSBS_043,2025-12-13,2025,347,0.3382,0.1986,16
OSBS_022,2025-12-13,2025,347,0.1621,-0.0769,16
OSBS_039,2025-12-13,2025,347,0.2854,0.1159,16
OSBS_036,2025-12-13,2025,347,0.3341,0.2011,16
OSBS_029,2025-12-13,2025,347,0.2977,0.1159,16
OSBS_040,2025-12-13,2025,347,0.3677,0.2776,16
OSBS_015,2025-12-13,2025,347,0.1961,0.0242,16
OSBS_025,2025-12-13,2025,347,0.3082,0.142,16
OSBS_030,2025-12-13,2025,347,0.3177,0.1624,16
OSBS_038,2025-12-13,2025,347,0.3502,0.207,16
OSBS_042,2025-12-13,2025,347,0.3711,0.2338,16
OSBS_035,2025-12-13,2025,347,0.3618,0.2581,16
OSBS_037,2025-12-13,2025,347,0.2702,0.1566,16
OSBS_028,2025-12-13,2025,347,0.2776,0.1306,16
OSBS_021,2025-12-13,2025,347,0.184,-0.0274,16
OSBS_041,2025-12-13,2025,347,0.3277,0.1828,16
OSBS_009,2025-12-13,2025,347,0.4091,0.3009,16
OSBS_031,2025-12-13,2025,347,0.3135,0.1993,16
OSBS_033,2025-12-13,2025,347,0.3978,0.2977,16
OSBS_032,2025-12-13,2025,347,0.3288,0.2006,16
OSBS_044,2025-12-13,2025,347,0.3514,0.2155,16
OSBS_027,2025-12-13,2025,347,0.3339,0.1676,16
OSBS_034,2025-12-13,2025,347,0.3563,0.2667,16
OSBS_026,2025-12-13,2025,347,0.3322,0.1791,16
OSBS_063,2025-12-13,2025,347,0.3052,0.1742,16
OSBS_067,2025-12-13,2025,347,0.3408,0.2265,16
OSBS_066,2025-12-13,2025,347,0.4297,0.309,16
OSBS_068,2025-12-13,2025,347,0.3886,0.3015,16
OSBS_070,2025-12-13,2025,347,0.3321,0.2451,16
OSBS_073,2025-12-13,2025,347,0.3713,0.2141,16
OSBS_002,2025-12-13,2025,347,0.3761,0.2755,16
OSBS_006,2025-12-13,2025,347,0.3269,0.1829,16
OSBS_048,2025-12-13,2025,347,0.3857,0.2834,16
OSBS_001,2025-12-13,2025,347,0.4486,0.3504,16
OSBS_018,2025-12-13,2025,347,0.3834,0.2523,16
OSBS_011,2025-12-13,2025,347,0.4859,0.3886,16
OSBS_014,2025-12-13,2025,347,0.4202,0.3196,16
OSBS_004,2025-12-13,2025,347,0.3841,0.2755,16
OSBS_020,2025-12-13,2025,347,0.4472,0.3277,16
OSBS_023,2025-12-13,2025,347,0.1677,-0.0818,16
