plotID,date,year,doy,ndvi,nbr,npix
BART_033,2025-12-22,2025,356,0.1782,0.2155,16
BART_047,2025-12-22,2025,356,0.1936,0.2425,16
BART_032,2025-12-22,2025,356,0.1884,0.2167,16
BART_015,2025-12-22,2025,356,0.3754,0.2773,16
BART_016,2025-12-22,2025,356,0.3997,0.2909,16
BART_010,2025-12-22,2025,356,0.1927,0.3115,1
BART_013,2025-12-22,2025,356,0.1568,0.258,16
BART_006,2025-12-22,2025,356,0.1873,0.1565,16
BART_023,2025-12-22,2025,356,0.5145,0.367,14
BART_002,2025-12-22,2025,356,0.1285,0.2607,16
BART_018,2025-12-22,2025,356,0.446,0.3542,16
BART_003,2025-12-22,2025,356,0.1459,0.2238,16
BART_011,2025-12-22,2025,356,0.3647,0.2304,16
BART_025,2025-12-22,2025,356,0.4577,0.3582,16
BART_007,2025-12-22,2025,356,0.4496,0.3585,16
BART_004,2025-12-22,2025,356,0.4675,0.3383,16
BART_019,2025-12-22,2025,356,0.3068,0.2347,16
BART_015,2025-11-29,2025,333,0.2481,0.2664,16
BART_010,2025-11-29,2025,333,0.1241,0.1745,16
BART_013,2025-11-29,2025,333,0.1387,0.1395,16
BART_023,2025-11-29,2025,333,0.2547,0.313,16
BART_002,2025-11-29,2025,333,0.1237,0.1213,16
BART_003,2025-11-29,2025,333,0.0949,0.187,16
BART_024,2025-11-29,2025,333,0.2862,0.3967,4
BART_027,2025-11-29,2025,333,0.2044,0.2961,16
BART_004,2025-11-29,2025,333,0.1529,0.2442,16
BART_010,2025-11-04,2025,308,0.0893,0.2276,4
BART_003,2025-11-04,2025,308,0.1835,0.2654,16
BART_027,2025-11-04,2025,308,0.2048,0.2896,16
BART_012,2025-11-02,2025,306,0.222,0.0603,16
BART_001,2025-11-02,2025,306,0.4617,0.3628,16
BART_005,2025-11-02,2025,306,0.408,0.3026,16
BART_044,2025-11-02,2025,306,0.3352,0.2141,16
BART_037,2025-11-02,2025,306,0.2388,0.0775,16
BART_073,2025-11-02,2025,306,0.3362,0.1906,16
BART_074,2025-11-02,2025,306,0.3294,0.2126,16
BART_075,2025-11-02,2025,306,0.3688,0.2226,16
BART_042,2025-11-02,2025,306,0.3253,0.1761,16
BART_072,2025-11-02,2025,306,0.3408,0.2014,16
BART_046,2025-11-02,2025,306,0.2498,0.0824,16
BART_036,2025-11-02,2025,306,0.2391,0.0885,16
BART_051,2025-11-02,2025,306,0.4059,0.2836,16
BART_041,2025-11-02,2025,306,0.291,0.1321,16
BART_034,2025-11-02,2025,306,0.3796,0.2525,16
BART_039,2025-11-02,2025,306,0.3551,0.2207,16
BART_050,2025-11-02,2025,306,0.3946,0.2661,16
BART_040,2025-11-02,2025,306,0.2336,0.0629,16
BART_071,2025-11-02,2025,306,0.316,0.1587,16
BART_070,2025-11-02,2025,306,0.3648,0.2198,16
BART_033,2025-11-02,2025,306,0.2547,0.0672,16
BART_047,2025-11-02,2025,306,0.2511,0.0779,16
BART_032,2025-11-02,2025,306,0.2423,0.0671,16
BART_015,2025-11-02,2025,306,0.3694,0.2441,16
