plotID,rich_after,rich_before,q1_after,q1_before,q2_after,q2_before,cov_after,cov_before,nyr_after,nyr_before,drich,dq1,dq2,impact,severity,recency
GRSM_050,13.0,10.0,6.179199729766742,6.32805116493618,5.170998255119845,5.327495621716286,0.9927125793914116,0.9621931260229133,6.0,1.0,3.0,-0.14885143516943788,-0.1564973665964411,1,0.0,9.0
GRSM_051,13.0,14.0,7.880630333946235,8.08178565907422,6.135595311536088,5.268441885570348,0.9865470852017937,0.9922520661157025,5.0,2.0,-1.0,-0.20115532512798406,0.8671534259657401,1,1.4865651114049956,8.0
GRSM_052,17.0,18.0,9.663216230340057,9.167967726944829,7.2916368834882075,6.602181128496917,0.9950739518396284,0.9874307652078826,3.0,2.0,-1.0,0.49524850339522786,0.6894557549912905,1,0.727887487129129,8.0
GRSM_053,11.0,10.0,5.886064243931894,6.402425008166181,3.9993639780283314,4.629017447199265,0.9961977186311787,0.9870274277242401,4.0,1.0,1.0,-0.5163607642342862,-0.6296534691709339,1,0.0,9.0
GRSM_054,11.0,11.0,6.277207688488405,6.239351000217264,5.10915434457551,4.689234184239734,0.9879357877827465,0.9230769230769231,4.0,1.0,0.0,0.03785668827114108,0.41992016033577606,1,0.0,9.0
GRSM_055,16.0,15.0,9.288303346995,10.016508226872197,6.685529980941209,8.05524861878453,1.0,0.8525473830638151,8.0,1.0,1.0,-0.7282048798771967,-1.369718637843321,1,0.0,9.0
GRSM_056,20.0,20.0,8.379707856358761,10.949040623769665,5.4869480991201875,6.996801462188714,0.9982906083319627,0.9945368916797488,3.0,2.0,0.0,-2.569332767410904,-1.509853363068526,1,0.25,8.0
GRSM_057,23.0,17.0,12.233996995011486,12.266495090702719,9.147205695733144,9.986301369863014,0.9973154362416108,0.9647266313932981,8.0,1.0,6.0,-0.032498095691233075,-0.8390956741298705,1,0.0,9.0
GRSM_058,15.0,10.0,8.525390819006613,7.274711840181627,6.324216090665173,5.818791946308725,0.9982269615620437,0.9615532487504805,8.0,1.0,5.0,1.2506789788249861,0.5054241443564482,1,0.0,9.0
GRSM_059,19.0,12.0,9.86011920075218,6.656812534115625,8.146653816928294,5.061983471074381,0.9954796653222503,0.993245869776482,7.0,2.0,7.0,3.2033066666365553,3.0846703458539135,1,0.4320228231014665,8.0
GRSM_060,23.0,17.0,10.782964502235377,10.140071838045177,7.800229769512458,7.244147157190636,0.9972862957937585,0.9742909146064007,8.0,1.0,6.0,0.6428926641901995,0.5560826123218217,1,0.0,9.0
GRSM_061,20.0,12.0,9.361024337916913,7.49089912447438,7.358278587070361,5.801785714285716,0.9928122308633741,0.9824561403508771,4.0,1.0,8.0,1.8701252134425328,1.556492872784645,1,0.0,9.0
GRSM_062,15.0,16.0,10.101294098929014,8.506701172326625,7.5350610884857465,5.268817204301074,1.0,0.9934247871333964,3.0,2.0,-1.0,1.5945929266023882,2.2662438841846724,1,1.6823421222069124,8.0
GRSM_063,13.0,13.0,7.680217005056537,8.706583111657444,5.611849335597961,6.696202531645571,1.0,0.9726247987117552,4.0,1.0,0.0,-1.026366106600907,-1.0843531960476094,1,0.0,9.0
