plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist,neon_event,neon_event_year,neon_event_type,remark_year,remark,remote_dist,remote_year,remote_sev,d_fire,d_loss,d_spec,neon_dist,neon_dist_year,neon_severity,neon_dist_type,disturbed,dist_year,severity,recency
BART_023,0.3366336633663366,2016.0,0.0201779671638049,0.0,0.0,0.099009900990099,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.3366336633663366,mortality,0,,0.3366336633663366,
BART_024,0.2982456140350877,2021.0,0.0609574784418673,0.0,0.0,0.135593220338983,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.2982456140350877,mortality,0,,0.2982456140350877,
BART_025,0.4605263157894737,2021.0,0.1143724696356275,0.0,0.0,0.1973684210526315,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.4605263157894737,mortality,0,,0.4605263157894737,
BART_026,0.2421052631578947,2021.0,0.0176154672395273,0.0,0.0,0.0306122448979591,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.2421052631578947,mortality,0,,0.2421052631578947,
BART_027,0.2352941176470588,2021.0,0.0628803245436105,0.0,0.0,0.0862068965517241,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.2352941176470588,mortality,0,,0.2352941176470588,
BART_028,0.4067796610169492,2016.0,0.0,0.0,0.0,0.2033898305084746,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.4067796610169492,mortality,0,,0.4067796610169492,
BART_032,0.825,2019.0,0.5146551724137931,0.0,0.0,0.1612903225806451,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2019.0,0.825,mortality,1,2019.0,0.825,6.0
BART_033,0.8659793814432989,2024.0,0.1030927835051546,0.0,0.0,0.0978260869565217,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2024.0,0.8659793814432989,mortality,0,,0.8659793814432989,
BART_034,0.6462585034013606,2019.0,0.3743286788399571,0.0,0.0,0.0759493670886076,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2019.0,0.6462585034013606,mortality,1,2019.0,0.6462585034013606,6.0
BART_036,0.8251748251748252,2020.0,0.4119516846789575,0.0,0.0075757575757575,0.106060606060606,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2020.0,0.8251748251748252,insect,1,2020.0,0.8251748251748252,5.0
BART_037,0.8263473053892216,2018.0,0.0685833302339421,0.0,0.0062893081761006,0.0754716981132075,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2018.0,0.8263473053892216,insect,0,,0.8263473053892216,
BART_039,0.5843373493975903,2024.0,0.2537588370008961,0.0,0.0063694267515923,0.1024096385542168,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2024.0,0.5843373493975903,insect,0,,0.5843373493975903,
