siteID,plotID,year,grain_m,n_cells,source,NDVI_mean,NDVI_sd,EVI_mean,EVI_sd,ARVI_mean,ARVI_sd,SAVI_mean,SAVI_sd
ABBY,ABBY_015,2025,10,16,NEON_DP3.30026.002_bidirectional,0.8786541223526001,0.030745001509785652,0.6357882618904114,0.044911883771419525,0.8725686073303223,0.03840296342968941,0.5705569982528687,0.03618445247411728
ABBY,ABBY_077,2025,10,16,NEON_DP3.30026.002_bidirectional,0.9284057021141052,0.011351260356605053,0.5658974051475525,0.13252763450145721,0.9341768622398376,0.021584825590252876,0.5227846503257751,0.10707905143499374
BART,BART_012,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9114217758178711,0.005042785778641701,0.6456344127655029,0.03962831571698189,0.9009573459625244,0.007484858855605125,0.5920134782791138,0.029678601771593094
BART,BART_001,2022,10,16,NEON_DP3.30026.002_bidirectional,0.876636266708374,0.025654340162873268,0.5697965025901794,0.07218354940414429,0.8608048558235168,0.048539429903030396,0.5291010141372681,0.05876694247126579
BART,BART_005,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9303812384605408,0.009225403890013695,0.2668975293636322,0.03332815319299698,0.886608362197876,0.015345452353358269,0.2883424460887909,0.03238731995224953
BART,BART_044,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9312387704849243,0.010141968727111816,0.2907922863960266,0.026405638083815575,0.8861190676689148,0.01459298562258482,0.3121821880340576,0.02568647265434265
BART,BART_037,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9305250644683838,0.013161145150661469,0.3172053098678589,0.01839720644056797,0.8835042715072632,0.02081943489611149,0.3382643163204193,0.017786303535103798
BART,BART_073,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8806911706924438,0.009959449991583824,0.6312683820724487,0.04370271414518356,0.8532254695892334,0.014251606538891792,0.5809750556945801,0.033407967537641525
BART,BART_074,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9336943030357361,0.007667104713618755,0.3215084373950958,0.02031216025352478,0.889538049697876,0.012442374601960182,0.34212663769721985,0.019023656845092773
BART,BART_075,2022,10,12,NEON_DP3.30026.002_bidirectional,0.8868359923362732,0.008205977268517017,0.588823139667511,0.06415288150310516,0.8624322414398193,0.012318172492086887,0.5500152707099915,0.05051488056778908
BART,BART_042,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9055777192115784,0.008384361863136292,0.6652495861053467,0.04250263795256615,0.8850443363189697,0.01222247164696455,0.6094039678573608,0.03215934336185455
BART,BART_072,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8890082836151123,0.017467699944972992,0.5975890755653381,0.09921637177467346,0.8629988431930542,0.022725461050868034,0.5544295310974121,0.0793423280119896
BART,BART_046,2022,10,16,NEON_DP3.30026.002_bidirectional,0.9435819983482361,0.010013273917138577,0.31871235370635986,0.019748486578464508,0.9158807992935181,0.010326732881367207,0.33784762024879456,0.018538089469075203
BART,BART_036,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8750225305557251,0.0089263916015625,0.6138880252838135,0.07747483998537064,0.8437170386314392,0.013719199225306511,0.5683144330978394,0.06252793222665787
BART,BART_051,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8761594891548157,0.011266200803220272,0.5728155374526978,0.08670031279325485,0.8517397046089172,0.015069630928337574,0.5338680148124695,0.06849316507577896
BART,BART_041,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8915500640869141,0.010964048095047474,0.6191918849945068,0.05420197546482086,0.8668023943901062,0.016532622277736664,0.5742359161376953,0.04205234348773956
BART,BART_034,2022,10,16,NEON_DP3.30026.002_bidirectional,0.8851714730262756,0.009098757058382034,0.5670610666275024,0.12489230185747147,0.8646185398101807,0.0178847499191761,0.5293928980827332,0.10030902177095413
