plotID,s2_dist,s2_dist_year,s2_dist_mag,s2_recovery,nbr_trend
MLBS_016,0,0,-0.047,,0.002
MLBS_017,0,0,-0.066,0.0041,-0.0003
MLBS_018,0,0,-0.037,0.0016,0.0045
MLBS_019,0,0,-0.016,,0.0032
MLBS_020,0,0,-0.042,,0.0032
MLBS_061,0,0,-0.077,0.0103,0.0
MLBS_062,0,0,-0.072,0.0047,-0.0061
MLBS_063,0,0,-0.066,0.007,-0.0041
MLBS_064,0,0,-0.072,0.0103,0.0033
MLBS_065,1,2018,-0.095,0.0075,0.0012
MLBS_066,0,0,-0.075,0.0097,-0.001
MLBS_067,1,2018,-0.092,0.0059,-0.0033
MLBS_068,1,2018,-0.096,0.0096,-0.0035
MLBS_069,0,0,-0.041,0.0041,0.0018
MLBS_070,0,0,-0.057,0.0061,-0.0002
MLBS_071,0,0,-0.064,0.0034,-0.0008
MLBS_072,1,2018,-0.085,0.0037,-0.0022
MLBS_073,1,2018,-0.11,0.0103,-0.0023
MLBS_074,0,0,-0.065,0.0013,-0.0023
MLBS_075,1,2018,-0.092,0.0107,0.0013
MLBS_076,0,0,-0.049,0.0046,0.0031
ORNL_001,0,0,-0.015,0.0008,0.0025
ORNL_002,0,0,-0.027,0.0034,0.0028
ORNL_003,0,0,-0.025,-0.0023,0.0059
ORNL_004,0,0,-0.027,0.0004,0.0014
ORNL_006,0,0,-0.043,0.0032,0.0014
ORNL_007,0,0,-0.034,,0.0042
ORNL_008,0,0,-0.043,,-0.0009
ORNL_009,0,0,-0.021,0.0036,0.0033
ORNL_010,0,0,-0.018,0.0016,0.0027
ORNL_012,0,0,-0.03,,0.0026
ORNL_014,0,0,-0.028,-0.0061,0.0045
ORNL_015,0,0,-0.018,0.0053,0.0052
ORNL_017,0,0,-0.037,,0.0002
ORNL_018,0,0,-0.012,0.0005,0.0035
ORNL_019,0,0,-0.025,,0.0
ORNL_021,1,2017,-0.106,0.0093,0.0048
ORNL_027,0,0,-0.015,-0.0021,0.0015
ORNL_029,0,0,-0.024,0.0006,0.0033
ORNL_031,1,2024,-0.105,,0.0025
ORNL_032,0,0,-0.028,-0.0033,-0.0025
ORNL_033,0,0,-0.015,-0.0034,0.0067
ORNL_035,0,0,-0.04,,-0.0022
ORNL_036,0,0,-0.04,,-0.0023
ORNL_037,0,0,-0.009,-0.0054,0.002
ORNL_043,0,0,-0.02,0.0015,0.0011
ORNL_044,1,2018,-0.179,0.0191,0.0066
ORNL_045,0,0,-0.012,-0.0039,0.0012
ORNL_046,0,0,-0.032,0.0034,0.0024
ORNL_049,0,0,-0.035,0.0052,0.0035
ORNL_050,0,0,-0.033,0.0016,0.0032
ORNL_051,0,0,-0.012,-0.0022,0.0018
ORNL_052,0,0,-0.02,,0.0019
ORNL_053,0,0,-0.026,-0.0018,0.0023
ORNL_054,0,0,-0.024,,0.0008
ORNL_055,0,0,-0.011,,0.0057
ORNL_056,0,0,-0.021,0.0037,0.0032
ORNL_057,0,0,-0.022,,0.0013
ORNL_058,0,0,-0.018,-0.0021,0.0032
ORNL_059,0,0,-0.023,0.0022,0.0016
ORNL_060,0,0,-0.022,,0.0029
ORNL_061,0,0,-0.024,0.0033,0.0026
ORNL_062,0,0,-0.029,-0.0012,0.0002
ORNL_063,0,0,-0.032,0.0072,0.0052
ORNL_066,1,2023,-0.531,0.2552,0.0001
ORNL_067,0,0,-0.012,,0.0024
ORNL_068,0,0,-0.018,,0.0029
OSBS_001,0,0,-0.059,0.0067,0.0038
OSBS_002,0,0,-0.064,0.0005,-0.004
OSBS_003,0,0,-0.049,0.0061,0.0049
OSBS_004,1,2022,-0.189,0.0057,-0.0069
OSBS_005,1,2018,-0.213,0.0212,-0.0128
OSBS_006,1,2024,-0.133,,-0.0011
OSBS_007,0,0,-0.056,0.0163,0.0015
OSBS_008,1,2020,-0.121,0.0249,0.01
OSBS_009,0,0,-0.063,0.0105,0.0062
OSBS_010,0,0,-0.076,-0.0008,-0.0027
OSBS_011,1,2020,-0.143,0.0153,0.0002
OSBS_012,1,2020,-0.371,0.0272,0.0044
OSBS_013,1,2022,-0.148,-0.0002,-0.0023
OSBS_014,1,2019,-0.084,0.0049,0.0039
OSBS_015,1,2022,-0.175,-0.0101,-0.0106
OSBS_016,0,0,-0.031,0.001,0.0018
OSBS_017,0,0,-0.057,0.0029,-0.0001
OSBS_018,0,0,-0.051,,-0.0009
OSBS_020,1,2019,-0.15,0.0347,0.0179
OSBS_021,1,2019,-0.293,-0.0117,-0.0383
OSBS_022,1,2020,-0.183,-0.0008,-0.0305
OSBS_023,1,2020,-0.497,0.0276,-0.0175
OSBS_024,1,2025,-0.465,,-0.0042
OSBS_025,0,0,-0.074,,-0.0022
OSBS_026,1,2019,-0.106,0.0051,-0.0028
OSBS_027,0,0,-0.07,0.0036,-0.0023
OSBS_028,1,2022,-0.143,0.0065,-0.0006
OSBS_029,0,0,-0.07,0.0075,-0.0027
OSBS_030,1,2022,-0.14,-0.001,-0.0019
OSBS_031,1,2024,-0.117,,-0.0002
OSBS_032,1,2024,-0.094,,-0.0012
OSBS_033,1,2024,-0.165,,-0.0041
OSBS_034,1,2024,-0.155,,0.0
OSBS_035,1,2022,-0.159,0.0158,-0.0031
OSBS_036,1,2019,-0.089,0.0057,0.0015
OSBS_037,1,2022,-0.15,0.0087,-0.0013
OSBS_038,1,2022,-0.166,-0.0021,-0.006
OSBS_039,1,2025,-0.102,,0.0004
OSBS_040,1,2024,-0.17,,-0.0017
OSBS_041,1,2022,-0.131,0.007,-0.004
OSBS_042,1,2025,-0.084,,-0.0085
OSBS_043,1,2019,-0.13,0.0103,-0.0062
OSBS_044,1,2019,-0.099,0.0092,0.0005
OSBS_048,0,0,-0.063,,0.0014
OSBS_049,1,2020,-0.35,0.0254,-0.0148
OSBS_050,1,2022,-0.134,0.0186,-0.0105
OSBS_051,1,2020,-0.116,0.0044,0.008
OSBS_063,0,0,-0.066,0.0116,0.012
OSBS_066,0,0,-0.077,0.0039,0.0005
OSBS_067,1,2020,-0.105,0.0083,0.0003
OSBS_068,1,2018,-0.128,-0.0032,-0.0067
OSBS_070,1,2024,-0.16,,0.0039
OSBS_073,0,0,-0.037,0.0123,0.0092
RMNP_001,0,0,-0.021,,0.0041
RMNP_002,0,0,-0.032,0.0018,0.0014
RMNP_003,0,0,-0.023,,0.0077
RMNP_004,0,0,-0.036,,0.0009
RMNP_005,0,0,-0.04,-0.008,0.005
RMNP_006,0,0,-0.048,-0.0023,0.0004
RMNP_007,0,0,-0.027,,0.0011
RMNP_008,0,0,-0.025,-0.0071,0.0012
RMNP_009,0,0,-0.018,,0.0059
RMNP_010,0,0,-0.02,,0.0044
RMNP_011,0,0,-0.053,,0.0018
RMNP_012,0,0,-0.022,-0.0139,-0.003
RMNP_013,0,0,-0.058,,0.0008
RMNP_014,0,0,-0.028,-0.0144,-0.002
RMNP_015,0,0,-0.021,,0.0043
RMNP_016,0,0,-0.036,0.0055,0.0051
RMNP_017,0,0,-0.073,,0.0058
RMNP_018,0,0,-0.027,,0.0043
RMNP_019,0,0,-0.055,,-0.0018
RMNP_020,0,0,-0.034,,0.0069
RMNP_041,1,2024,-0.097,,-0.0016
RMNP_042,0,0,-0.079,,0.0014
RMNP_043,1,2024,-0.136,,-0.0053
RMNP_044,0,0,-0.073,0.0037,-0.0012
RMNP_045,0,0,-0.066,-0.0108,-0.0047
RMNP_046,1,2020,-0.118,0.0077,-0.0005
RMNP_047,0,0,-0.078,,-0.0004
RMNP_048,1,2024,-0.08,,0.0002
RMNP_049,1,2024,-0.102,,0.002
SCBI_002,0,0,-0.049,,-0.0031
SCBI_003,0,0,-0.047,,-0.0011
SCBI_004,0,0,-0.037,,-0.004
SCBI_005,0,0,-0.06,0.0044,-0.0001
SCBI_006,1,2019,-0.25,0.0081,-0.0123
SCBI_007,0,0,-0.058,,-0.0036
SCBI_008,0,0,-0.059,,-0.0052
SCBI_010,0,0,-0.058,,-0.0012
SCBI_011,0,0,-0.05,,-0.0042
SCBI_012,1,2023,-0.158,0.074,-0.011
SCBI_013,0,0,-0.06,,-0.0027
SCBI_014,0,0,-0.032,0.0027,0.0011
SCBI_015,0,0,-0.055,,-0.0039
SCBI_016,0,0,-0.037,,-0.0015
SCBI_017,0,0,-0.026,,-0.0033
SCBI_018,0,0,-0.062,,-0.0036
SCBI_019,0,0,-0.038,,-0.0002
SCBI_021,0,0,-0.045,0.0019,-0.0002
SCBI_022,0,0,-0.059,,-0.0021
