plotID,siteID,n_good_plots,lcbd_bray_cov,lcbd_turnover_cov,lcbd_nestedness_cov
BART_073,BART,38,0.4944581200980588,0.18745173745173746,0.1537501890443067
BART_074,BART,38,0.5048567795046911,0.23018018018018022,0.14195309195309197
BART_075,BART,38,0.4711039368218757,0.231981981981982,0.1339094839094839
BLAN_009,BLAN,9,0.8774509803921569,0.875,0.017857142857142863
BLAN_012,BLAN,9,0.8554134491634491,0.8333333333333333,0.03303571428571429
BLAN_015,BLAN,9,0.8324250470642617,0.75,0.0449404761904762
BLAN_035,BLAN,9,0.9553571428571428,0.875,0.041666666666666664
BLAN_036,BLAN,9,0.8741501384794068,0.6875,0.11666666666666665
BLAN_047,BLAN,9,0.8914738957804138,0.8541666666666666,0.03234126984126985
BLAN_050,BLAN,9,0.9553571428571428,0.875,0.041666666666666664
BLAN_057,BLAN,9,0.9907407407407407,0.9375,0.03125
BLAN_063,BLAN,9,0.9251549124280265,0.7083333333333333,0.1201388888888889
GRSM_002,GRSM,20,0.6055295959671748,0.5466791979949874,0.05197541536550825
GRSM_006,GRSM,20,0.5490548754942187,0.4273182957393484,0.08863725758788495
GRSM_012,GRSM,20,0.721543059740782,0.551065162907268,0.06339098637860247
GRSM_016,GRSM,20,0.966359196961476,0.9473684210526315,0.007518796992481203
GRSM_019,GRSM,20,0.6252795040351634,0.5447786131996658,0.048971145038654317
GRSM_025,GRSM,20,0.966359196961476,0.9473684210526315,0.007518796992481203
GRSM_047,GRSM,20,0.5897771760407412,0.5140768588137008,0.053746588258033454
GRSM_049,GRSM,20,0.5979374744663105,0.4887218045112782,0.06649431448051366
GRSM_050,GRSM,20,0.707361265937436,0.5175438596491228,0.10152743532244916
GRSM_051,GRSM,20,0.6326766486428793,0.53015873015873,0.10272459371158638
GRSM_052,GRSM,20,0.5346587706971874,0.4010860484544695,0.08829879516803447
GRSM_053,GRSM,20,0.8156256346828501,0.4385964912280702,0.26467202388255023
GRSM_054,GRSM,20,0.5833761186011168,0.6228070175438597,0.07596902174464502
GRSM_057,GRSM,20,0.625938611073655,0.5458020050125313,0.11329653879515378
GRSM_059,GRSM,20,0.5937570449327154,0.5401002506265664,0.05139062004387083
GRSM_060,GRSM,20,0.5660118373143103,0.49561403508771934,0.06392203066066518
GRSM_061,GRSM,20,0.5490953667362569,0.4787176274018379,0.0691677291834216
GRSM_062,GRSM,20,0.6367484091769702,0.5951336675020885,0.04328451770198552
GRSM_063,GRSM,20,0.6050902422144999,0.5964912280701754,0.08344604764272356
GRSM_064,GRSM,20,0.5452458542693747,0.5272556390977444,0.06173499702911466
HARV_001,HARV,35,0.634677288183674,0.22058823529411764,0.17513336336865748
HARV_002,HARV,35,0.6159752872109102,0.2985294117647058,0.11230664760076525
HARV_005,HARV,35,0.5805641401383047,0.2985294117647058,0.11230664760076525
HARV_006,HARV,35,0.6708691063126784,0.5666666666666668,0.06316477640007051
HARV_008,HARV,35,0.6769112926206224,0.22058823529411764,0.17513336336865748
HARV_011,HARV,35,0.7120281279045938,0.4818160597572363,0.12450807933643482
HARV_014,HARV,35,0.6666746251857696,0.3259803921568627,0.14544213955978663
