plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist
HARV_016,0.48760330578512395,2019,0.35994373131703883,0.0,0.1322314049586777,0.19834710743801653,1
HARV_017,0.24137931034482757,2023,0.04465799886941774,0.0,0.08196721311475409,0.10344827586206896,0
HARV_020,0.0273972602739726,2015,0.0,0.0,0.0,0.0136986301369863,0
HARV_021,0.5652173913043478,2023,0.4347826086956521,0.0,0.021739130434782608,0.5476190476190477,1
HARV_022,0.4081632653061224,2019,0.2970521541950113,0.0,0.05102040816326531,0.38,1
HARV_023,0.45081967213114754,2023,0.34197613471618155,0.0,0.015384615384615385,0.36065573770491804,1
HARV_024,0.02702702702702703,2015,0.0,0.0,0.0,0.02702702702702703,0
HARV_025,0.5438596491228069,2019,0.42385964912280694,0.0,0.2982456140350877,0.24561403508771928,1
HARV_026,0.35833333333333334,2023,0.2986318407960199,0.0,0.05982905982905983,0.2916666666666667,1
HARV_027,0.1568627450980392,2019,0.1256127450980392,0.0,0.0784313725490196,0.07575757575757576,0
HARV_033,0.7241379310344827,2023,0.382471264367816,0.0,0.2966101694915254,0.28368794326241137,1
HARV_034,0.85,2025,0.4434959349593495,0.0,0.19708029197080293,0.44285714285714284,1
HARV_035,0.812807881773399,2020,0.1932426643820946,0.0,0.49528301886792453,0.2857142857142857,1
HARV_036,0.5844155844155845,2020,0.4562104562104563,0.0,0.13414634146341464,0.21951219512195122,1
HARV_037,0.8586956521739131,2016,0.4129125196437926,0.0,0.52,0.33695652173913043,1
HARV_038,0.7105263157894737,2021,0.4705263157894737,0.0,0.40131578947368424,0.19205298013245034,1
HARV_039,0.6141732283464567,2021,0.34083989501312334,0.0,0.09836065573770492,0.2689655172413793,1
HARV_040,0.7075471698113207,2025,0.4372768995410504,0.0,0.07894736842105263,0.24050632911392406,1
HARV_041,0.5842105263157895,2016,0.35746634026927787,0.0,0.30158730158730157,0.26842105263157895,1
HARV_042,0.5316455696202531,2025,0.4386223138062996,0.0,0.02531645569620253,0.20253164556962025,1
HARV_043,0.9130434782608696,2020,0.6791725105189341,0.0,0.6910569105691057,0.21,1
HARV_044,0.7462686567164178,2020,0.5879353233830845,0.0,0.07462686567164178,0.208955223880597,1
HARV_045,0.5603448275862069,2025,0.41904047976011993,0.0,0.05291005291005291,0.25,1
HARV_046,0.5594405594405594,2025,0.4245199245199245,0.0,0.058333333333333334,0.21678321678321677,1
HARV_047,0.674074074074074,2025,0.4957795004306632,0.0,0.08552631578947369,0.24705882352941178,1
HARV_048,0.8231707317073171,2020,0.37255344775669985,0.0,0.5166666666666667,0.25165562913907286,1
HARV_049,0.8855421686746987,2020,0.38243657861258695,0.0,0.6,0.2710843373493976,1
HARV_050,0.7741935483870968,2020,0.4212523719165085,0.0,0.41836734693877553,0.34838709677419355,1
HARV_051,0.6035502958579881,2025,0.36718665949435175,0.0,0.18888888888888888,0.20710059171597633,1
HARV_052,0.9026548672566371,2025,0.5722200846479415,0.0,0.48031496062992124,0.2743362831858407,1
JERC_001,0.31481481481481477,2021,0.0,0.0,0.0,0.2222222222222222,0
JERC_002,0.6470588235294118,2021,0.0,0.0,0.0,0.5882352941176471,1
JERC_003,0.22033898305084745,2021,0.0,0.0,0.00847457627118644,0.05084745762711865,0
JERC_005,0.972972972972973,2021,0.0,0.0,0.0,0.8648648648648649,1
JERC_006,0.596774193548387,2021,0.0,0.0,0.016129032258064516,0.5483870967741935,1
JERC_007,0.8,2021,0.0,0.0,0.0,0.7777777777777778,1
