plotID,sev_spec,spec_year,hansen_loss,hansen_lossyear,hansen_loss_frac,fire,fire_year,sev_loss,d_spec,d_loss,d_fire,disturbed,dist_year,recency,severity
BART_026,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_027,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_028,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_032,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_033,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_034,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_036,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_037,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_039,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_040,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_041,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_042,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_044,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_046,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_047,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_050,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_051,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_070,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_071,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_072,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_073,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_074,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BART_075,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_003,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_004,0.2648675486677352,2024.0,0,0,0.0,0,0,0.0,1,0,0,1,2024.0,1.0,0.2648675486677352
BLAN_005,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_007,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_008,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_009,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_013,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_017,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_018,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_019,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
