plotID,hansen_loss,hansen_lossyear,hansen_loss_frac,treecover2000
MLBS_010,0,0,0.0,96.0
MLBS_005,0,0,0.0,98.0
MLBS_003,1,2006,0.25,99.8
MLBS_019,0,0,0.0,97.5
MLBS_016,0,0,0.0,99.0
MLBS_015,0,0,0.0,100.0
MLBS_014,0,0,0.0,100.0
MLBS_001,0,0,0.0,97.0
MLBS_017,0,0,0.0,79.5
MLBS_011,0,0,0.0,95.8
MLBS_012,0,0,0.0,48.5
MLBS_002,1,2006,0.25,98.5
MLBS_004,0,0,0.0,95.2
MLBS_018,0,0,0.0,99.0
MLBS_008,0,0,0.0,100.0
MLBS_007,0,0,0.0,98.5
MLBS_006,0,0,0.0,89.0
MLBS_020,0,0,0.0,97.2
MLBS_013,0,0,0.0,99.5
ORNL_002,0,0,0.0,100.0
ORNL_003,0,0,0.0,99.8
ORNL_009,0,0,0.0,100.0
ORNL_021,0,0,0.0,0.0
ORNL_031,0,0,0.0,9.2
ORNL_033,0,0,0.0,94.2
ORNL_066,0,0,0.0,0.0
ORNL_044,0,0,0.0,21.5
ORNL_012,0,0,0.0,100.0
ORNL_004,0,0,0.0,100.0
ORNL_001,0,0,0.0,100.0
ORNL_027,0,0,0.0,89.0
ORNL_014,0,0,0.0,100.0
ORNL_029,0,0,0.0,79.8
ORNL_007,0,0,0.0,100.0
ORNL_006,0,0,0.0,100.0
ORNL_008,0,0,0.0,100.0
ORNL_035,0,0,0.0,98.5
ORNL_010,0,0,0.0,97.2
ORNL_032,0,0,0.0,98.0
ORNL_055,0,0,0.0,100.0
ORNL_062,0,0,0.0,100.0
ORNL_063,0,0,0.0,100.0
ORNL_049,0,0,0.0,100.0
ORNL_052,0,0,0.0,100.0
ORNL_059,0,0,0.0,100.0
ORNL_036,0,0,0.0,100.0
ORNL_053,0,0,0.0,99.5
ORNL_046,0,0,0.0,100.0
ORNL_043,0,0,0.0,100.0
ORNL_058,0,0,0.0,100.0
ORNL_060,0,0,0.0,100.0
ORNL_056,0,0,0.0,100.0
ORNL_037,0,0,0.0,100.0
ORNL_057,0,0,0.0,100.0
ORNL_051,0,0,0.0,97.5
ORNL_061,0,0,0.0,100.0
ORNL_054,0,0,0.0,100.0
ORNL_045,0,0,0.0,100.0
ORNL_050,0,0,0.0,100.0
ORNL_017,0,0,0.0,100.0
ORNL_068,0,0,0.0,100.0
ORNL_019,0,0,0.0,100.0
ORNL_018,0,0,0.0,99.5
ORNL_067,0,0,0.0,100.0
ORNL_015,0,0,0.0,100.0
TALL_003,1,2014,1.0,100.0
TALL_005,0,0,0.0,100.0
TALL_009,1,2015,1.0,100.0
TALL_012,0,0,0.0,100.0
TALL_004,0,0,0.0,82.2
TALL_010,0,0,0.0,96.5
TALL_007,0,0,0.0,100.0
TALL_002,0,0,0.0,100.0
TALL_022,0,0,0.0,100.0
TALL_015,0,0,0.0,99.8
TALL_016,0,0,0.0,94.5
TALL_011,0,0,0.0,100.0
TALL_018,0,0,0.0,92.2
TALL_006,1,2018,0.75,98.8
TALL_013,1,2016,0.25,61.5
TALL_001,0,0,0.0,100.0
TALL_017,0,0,0.0,100.0
TALL_020,0,0,0.0,71.0
TALL_008,0,0,0.0,100.0
TALL_043,1,2016,0.25,98.2
TALL_049,0,0,0.0,84.5
TALL_046,0,0,0.0,100.0
TALL_061,0,0,0.0,87.8
TALL_052,0,0,0.0,96.2
TALL_050,0,0,0.0,94.8
TALL_051,0,0,0.0,98.5
TALL_057,0,0,0.0,95.8
TALL_060,0,0,0.0,100.0
TALL_055,0,0,0.0,99.5
TALL_058,1,2016,0.25,85.5
TALL_045,0,0,0.0,99.5
TALL_059,0,0,0.0,92.5
TALL_054,0,0,0.0,98.8
TALL_056,1,2016,1.0,52.2
TALL_044,0,0,0.0,98.8
TALL_047,0,0,0.0,100.0
TALL_048,0,0,0.0,87.2
TALL_042,0,0,0.0,99.0
TALL_053,0,0,0.0,98.8
TALL_064,0,0,0.0,100.0
TALL_025,1,2015,0.25,100.0
SOAP_059,1,2021,1.0,72.8
SOAP_057,1,2016,0.5,65.5
SOAP_051,0,0,0.0,11.5
SOAP_048,0,0,0.0,32.5
SOAP_058,1,2016,1.0,85.8
SOAP_043,1,2021,1.0,74.5
SOAP_050,1,2020,0.25,32.2
SOAP_044,1,2021,1.0,66.8
SOAP_052,1,2021,0.75,65.0
SOAP_046,0,0,0.0,42.2
SOAP_060,1,2021,0.25,27.5
SOAP_055,1,2021,0.75,52.5
SOAP_054,1,2017,1.0,64.5
SOAP_047,1,2021,0.25,80.5
SOAP_031,1,2016,0.25,75.5
SOAP_049,0,0,0.0,76.5
SOAP_056,1,2021,0.75,92.0
SOAP_053,1,2022,1.0,72.0
SOAP_045,0,0,0.0,64.0
SOAP_061,1,2016,0.5,86.0
SOAP_002,0,0,0.0,90.5
SOAP_010,0,0,0.0,37.5
SOAP_006,1,2016,1.0,95.5
SOAP_013,0,0,0.0,86.8
