plotID,year,n,frac_dead,frac_dmg,frac_burn,frac_insect,frac_dis,frac_mort_dmg
BART_032,2018,130,0.13076923076923078,0.5230769230769231,0.0,0.0,0.5,0.6538461538461539
BART_032,2019,120,0.125,0.7,0.0,0.0,0.6583333333333333,0.825
BART_032,2024,115,0.08695652173913043,0.6695652173913044,0.0,0.0,0.591304347826087,0.7565217391304349
BART_033,2015,97,0.0,0.7628865979381443,0.0,0.0,0.7628865979381443,0.7628865979381443
BART_033,2016,114,0.07017543859649122,0.7368421052631579,0.0,0.0,0.6929824561403509,0.8070175438596491
BART_033,2017,112,0.07142857142857142,0.7589285714285714,0.0,0.0,0.6517857142857143,0.8303571428571428
BART_033,2018,92,0.09782608695652174,0.7391304347826086,0.0,0.0,0.6304347826086957,0.8369565217391304
BART_033,2019,104,0.057692307692307696,0.7980769230769231,0.0,0.0,0.5961538461538461,0.8557692307692308
BART_033,2024,97,0.07216494845360824,0.7938144329896907,0.0,0.0,0.5154639175257731,0.8659793814432989
BART_034,2015,114,0.06140350877192982,0.21052631578947367,0.0,0.0,0.21052631578947367,0.27192982456140347
BART_034,2016,153,0.058823529411764705,0.5098039215686274,0.0,0.0,0.49673202614379086,0.5686274509803921
BART_034,2017,158,0.0759493670886076,0.5569620253164557,0.0,0.0,0.4810126582278481,0.6329113924050632
BART_034,2018,150,0.02666666666666667,0.5333333333333333,0.0,0.0,0.5066666666666667,0.5599999999999999
BART_034,2019,147,0.034013605442176874,0.6122448979591837,0.0,0.0,0.4489795918367347,0.6462585034013606
BART_034,2024,100,0.06,0.52,0.0,0.0,0.41,0.5800000000000001
BART_036,2015,121,0.04132231404958678,0.371900826446281,0.0,0.0,0.371900826446281,0.4132231404958677
BART_036,2016,137,0.072992700729927,0.7372262773722628,0.0,0.0,0.708029197080292,0.8102189781021898
BART_036,2017,140,0.05714285714285714,0.7285714285714285,0.0,0.007142857142857143,0.6,0.7857142857142857
BART_036,2018,142,0.07746478873239436,0.6830985915492958,0.0,0.0,0.6267605633802817,0.7605633802816901
BART_036,2019,140,0.07857142857142857,0.6928571428571428,0.0,0.0,0.6571428571428571,0.7714285714285714
BART_036,2020,143,0.09090909090909091,0.7342657342657343,0.0,0.0,0.6713286713286714,0.8251748251748252
BART_036,2021,132,0.10606060606060606,0.6666666666666666,0.0,0.007575757575757576,0.6439393939393939,0.7727272727272727
BART_036,2022,153,0.09803921568627451,0.6862745098039216,0.0,0.0,0.6797385620915033,0.7843137254901961
BART_036,2023,153,0.09803921568627451,0.6666666666666666,0.0,0.0,0.6470588235294118,0.7647058823529411
BART_036,2024,154,0.09090909090909091,0.6948051948051948,0.0,0.0,0.6623376623376623,0.7857142857142857
BART_036,2025,165,0.08484848484848485,0.7333333333333333,0.0,0.0,0.6787878787878788,0.8181818181818181
BART_037,2015,161,0.031055900621118012,0.7267080745341615,0.0,0.0,0.7142857142857143,0.7577639751552795
BART_037,2016,167,0.0718562874251497,0.718562874251497,0.0,0.0,0.6706586826347305,0.7904191616766467
BART_037,2017,164,0.06097560975609756,0.7621951219512195,0.0,0.0,0.5853658536585366,0.8231707317073171
BART_037,2018,167,0.059880239520958084,0.7664670658682635,0.0,0.0,0.6467065868263473,0.8263473053892216
BART_037,2019,159,0.07547169811320754,0.7421383647798742,0.0,0.006289308176100629,0.5220125786163522,0.8176100628930817
BART_037,2024,161,0.062111801242236024,0.7267080745341615,0.0,0.0,0.639751552795031,0.7888198757763976
BART_039,2015,121,0.08264462809917356,0.24793388429752067,0.0,0.0,0.24793388429752067,0.3305785123966942
BART_039,2016,155,0.07741935483870968,0.41935483870967744,0.0,0.0,0.3935483870967742,0.49677419354838714
BART_039,2017,168,0.08333333333333333,0.4523809523809524,0.0,0.0,0.34523809523809523,0.5357142857142857
BART_039,2018,158,0.0949367088607595,0.4620253164556962,0.0,0.0,0.35443037974683544,0.5569620253164558
BART_039,2019,157,0.09554140127388536,0.42038216560509556,0.0,0.006369426751592357,0.37579617834394907,0.5159235668789809
BART_039,2024,166,0.10240963855421686,0.4819277108433735,0.0,0.0,0.39156626506024095,0.5843373493975903
BART_040,2015,76,0.07894736842105263,0.18421052631578946,0.0,0.0,0.18421052631578946,0.2631578947368421
BART_040,2016,79,0.08860759493670886,0.3670886075949367,0.0,0.0,0.31645569620253167,0.45569620253164556
BART_040,2017,77,0.11688311688311688,0.35064935064935066,0.0,0.0,0.3246753246753247,0.4675324675324675
BART_040,2018,77,0.07792207792207792,0.4025974025974026,0.0,0.0,0.33766233766233766,0.48051948051948057
BART_040,2019,75,0.08,0.4,0.0,0.0,0.38666666666666666,0.48000000000000004
BART_040,2020,75,0.06666666666666667,0.41333333333333333,0.0,0.02666666666666667,0.32,0.48
BART_040,2021,79,0.08860759493670886,0.4050632911392405,0.0,0.05063291139240506,0.3037974683544304,0.49367088607594933
BART_040,2022,79,0.06329113924050633,0.3924050632911392,0.0,0.012658227848101266,0.35443037974683544,0.45569620253164556
BART_040,2023,80,0.075,0.4125,0.0,0.0375,0.3375,0.4875
BART_040,2024,82,0.0975609756097561,0.4024390243902439,0.0,0.0,0.35365853658536583,0.5
