plotID,dhi_nyears,dhi_cum_mean,dhi_cum_trend,dhi_min_mean,dhi_min_trend,dhi_var_mean,dhi_var_trend
HARV_036,1,0.35513181818181816,,0.1174,,0.5113431691037132,
HARV_037,1,0.4597454545454545,,0.37075,,0.17362273529143987,
HARV_038,1,0.4599863636363635,,0.3701,,0.1930595693532588,
HARV_039,1,0.38882727272727274,,0.148,,0.43322127741563055,
HARV_040,1,0.4133863636363637,,0.24380000000000002,,0.3496676122116391,
HARV_041,1,0.4519727272727272,,0.3556,,0.1694675928345976,
HARV_042,1,0.39976818181818174,,0.1825,,0.4094753296744975,
HARV_043,1,0.4162545454545455,,0.1871,,0.35364608172106016,
HARV_044,1,0.37167272727272727,,0.1417,,0.4766912023427796,
HARV_045,1,0.3650363636363636,,0.1568,,0.4631221461422869,
HARV_046,1,0.3941681818181818,,0.25615,,0.3399535144993623,
HARV_047,1,0.3745090909090909,,0.1504,,0.49742035992305506,
HARV_048,1,0.4392454545454546,,0.34545000000000003,,0.20959935697961338,
HARV_049,1,0.43919545454545456,,0.3402,,0.23220613666813608,
HARV_050,1,0.43059545454545456,,0.28959999999999997,,0.2942842450378157,
HARV_051,1,0.4091590909090909,,0.265,,0.3363787180053185,
HARV_052,1,0.43301818181818175,,0.3004,,0.2767651819539981,
JERC_001,10,0.55084329004329,-0.03850684507412632,0.41264500000000004,-0.032404545454552305,0.1810867240190976,0.007555415128172694
JERC_002,10,0.6068918750000001,-0.03621767102847575,0.44207,-0.021753333333340612,0.1293511654547431,4.337369348520719e-05
JERC_003,10,0.6253341477272727,-0.03810298324151371,0.48708,-0.03010787878788165,0.12204747703444904,0.006986948959942
JERC_004,10,0.47186218614718617,-0.027690338449437732,0.32219,-0.022287878787884706,0.2600877027995852,-0.002322727968115664
JERC_005,10,0.5744197348484847,-0.02934013085400207,0.43732,-0.0004309090909173654,0.1313653055830823,-0.01639632074219864
JERC_006,10,0.5633966098484848,-0.033366562213047006,0.399725,-0.016600303030309127,0.15725962968581778,0.0014411254855122642
JERC_007,10,0.604377803030303,-0.04146370982553732,0.490655,-0.03928878787879623,0.12516613764704335,0.009939756588454984
JERC_008,10,0.5628605681818183,-0.03319721992654568,0.39052,-0.02064121212121541,0.18314961853271708,-0.0007599929855905184
JERC_009,10,0.5925004274891774,-0.036887841073076105,0.41231,-0.030580606060608133,0.1641491554069871,0.010119875605897385
JERC_010,10,0.5633127272727272,-0.04125735996327783,0.41865499999999994,-0.031500303030308464,0.15814315870459125,0.0056364781578412074
JERC_011,10,0.5644542965367965,-0.04194809654992421,0.460625,-0.040076666666674504,0.14303159770893914,0.011086163757248734
